country,year,iso_code,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp,co2,co2_per_capita,total_ghg,consumption_co2,methane,nitrous_oxide,cement_co2,flaring_co2,trade_co2,coal_co2,gas_co2,oil_co2
Albania,1994,ALB,3269417,10596114842,13.014147758483888,3980.5712890625,1.2281999588012695,1.9238059520721436,0.588424801826477,7.231714248657227,2.3653478622436523,4.1271586418151855,1.3108460903167725,0.05150200054049492,0,0.4415417611598969,0.1685439944267273,0.09892799705266953,1.6048320531845093
Albania,1995,ALB,3258573,11600732968,14.311386108398438,4391.91845703125,1.233662247657776,2.0890650749206543,0.641098141670227,7.302267074584961,2.523127317428589,4.071412563323975,1.3042267560958862,0.1031769961118698,0,0.434062123298645,0.16121600568294525,0.05129599943757057,1.7733759880065918
Albania,1996,ALB,3245680,12468867839,13.501373291015623,4159.7978515625,1.0828067064285278,2.017508029937744,0.621597945690155,6.818369388580322,2.894911289215088,3.8786447048187256,1.1684863567352295,0.10490000247955322,0,0.8774032592773436,0.1135839968919754,0.04396799951791763,1.7550560235977173
Albania,1997,ALB,3229665,11020137102,12.922089576721191,4001.06201171875,1.17258882522583,1.5430090427398682,0.47776132822036743,5.991156578063965,2.1921586990356445,3.618356704711914,1.1006945371627808,0.05176100134849548,0,0.6491497755050659,0.04396799951791763,0.03663999959826469,1.410640001296997
Albania,1998,ALB,3210134,12026242682,14.884108543395996,4636.6005859375,1.237635850906372,1.754709005355835,0.546615481376648,6.2194719314575195,2.433192014694214,3.462986707687378,1.1422051191329956,0.04355200007557869,0,0.6784830093383789,0.05484500154852867,0.03290700167417526,1.6234049797058103
Albania,1999,ALB,3188598,13673692880,11.668021202087402,3659.295166015625,0.8533189296722412,2.9861960411071777,0.9365231990814208,7.263838768005371,3.7078821659088135,3.487236976623535,1.143469214439392,0.05505000054836273,0,0.7216862440109253,0.11005599796772005,0.02934799902141094,2.7917420864105225
Albania,2000,ALB,3166147,14736835655,19.683130264282227,6216.74560546875,1.335641622543335,3.024925947189331,0.9553965926170348,7.12445068359375,3.9599709510803223,3.530907392501831,1.1971882581710815,0.09363699704408646,0,0.9350450038909912,0.06953100115060806,0.02195700071752071,2.839801073074341
Albania,2001,ALB,3147943,16103903904,20.095544815063477,6383.70654296875,1.2478679418563845,3.220655918121338,1.0230985879898071,7.202000141143799,4.436779022216797,3.473015546798706,1.1634148359298706,0,0,1.2161229848861694,0.08060800284147263,0.01465599983930587,3.125391960144043
Albania,2002,ALB,3134095,17037279441,22.608081817626953,7213.591796875,1.326977252960205,3.748271942138672,1.1959662437438965,7.703841209411621,4.921943187713623,3.431607246398926,1.301841378211975,0,0,1.173671007156372,0.08427199721336365,0.02564799971878528,3.6383519172668457
Albania,2003,ALB,3118093,18171076149,23.203224182128903,7441.47900390625,1.2769317626953125,4.303499221801758,1.380170226097107,8.84684944152832,5.944252967834473,3.4491734504699707,1.3153361082077026,0.3024109899997711,0,1.640753984451294,0.08427199721336365,0.02564799971878528,3.8911678791046143
Albania,2004,ALB,3098662,19346601376,25.01408576965332,8072.5439453125,1.2929446697235107,4.1766839027404785,1.3478991985321045,7.716343402862549,5.528935432434082,3.378368854522705,1.2595380544662476,0.30017200112342834,0,1.3522515296936035,0.08427199721336365,0.03297600150108337,3.7592639923095703
Albania,2005,ALB,3076156,20562850324,24.74576187133789,8044.3779296875,1.2034207582473757,4.261413097381592,1.385304570198059,10.937084197998049,5.852740287780762,3.3621225357055664,1.2730792760849,0.2564919888973236,0,1.5913275480270386,0.07321599870920181,0.02196500077843666,3.9097399711608887
Albania,2006,ALB,3050805,21889974405,23.52598762512207,7711.4033203125,1.0747380256652832,3.910715103149414,1.2818633317947388,8.404794692993164,5.833767414093018,3.329444408416748,1.236425280570984,0.2758280038833618,0,1.9230525493621824,0.07321000099182129,0.02196300029754638,3.539714097976685
Albania,2007,ALB,3022887,23259283502,23.141700744628903,7655.49658203125,0.99494469165802,4.003596782684326,1.3244282007217407,11.4759521484375,6.05797004699707,3.206122875213623,1.213741660118103,0.46783700585365295,0,2.054373264312744,0.07327999919652939,0.03297600150108337,3.429503917694092
Albania,2008,ALB,2992933,25006230217,23.894060134887695,7983.4931640625,0.9555242657661438,4.448338985443115,1.4862807989120483,10.527336120605469,6.62702751159668,3.030820608139038,1.1493816375732422,0.48389101028442383,0,2.1786885261535645,0.10259199887514114,0.01465599983930587,3.8471999168396
